timestamp,total_distance_m,avg_time_per_cube_s,success_ratio
2025-10-25T13:59:15,15.09,21.45,1
2025-10-25T14:04:24,18.04,22.31,1
2025-10-25T14:25:12,15.48,20.86,1
2025-10-25T14:27:50,16.43,24.99,1
2025-10-25T14:45:10,14.8,20.95,1
2025-10-25T17:10:44,18.38,24.37,1
2025-10-26T18:34:33,13.84,27.87,1
2025-10-27T16:22:18,0.0,0.04,1.0
2025-10-27T16:25:16,14.61,20.99,1.0
2025-10-27T16:48:24,16.91,23.63,1.0
2025-10-27T16:53:00,18.37,22.52,1.0
2025-10-27T16:54:43,15.75,19.91,1.0
2025-10-27T16:56:22,14.42,20.44,1.0
2025-10-27T16:58:28,16.23,22.87,1.0
2025-10-27T17:00:12,18.04,23.24,1.0
2025-10-27T17:02:51,16.9,25.21,1.0
2025-10-27T17:05:11,13.39,19.92,1.0
2025-10-27T17:08:07,16.85,22.65,1.0
2025-10-27T17:10:29,16.3,23.49,1.0
2025-10-27T17:13:12,16.13,20.59,1.0
2025-10-27T17:26:04,17.56,21.81,1.0
2025-10-27T17:27:50,15.46,22.0,1.0
2025-10-27T17:31:46,15.79,24.53,1.0
2025-10-27T17:36:27,17.39,21.33,1.0
2025-10-27T17:40:28,18.0,27.24,1.0
2025-10-27T17:44:50,15.88,21.71,1.0
2025-10-27T17:46:32,14.12,20.01,1.0
2025-10-27T17:50:02,21.2,27.45,1.0
2025-10-27T18:56:01,17.41,6.41,1.0
2025-10-27T19:57:21,16.25,8.27,1.0
2025-10-27T19:58:55,15.87,6.94,1.0
2025-10-27T20:00:09,19.32,8.29,1.0
2025-10-27T20:17:49,14.63,4.52,1.0
